customer_id,tenant_id,product_id,ownership_date,usage_score
T1_C1,T1,T1_P131,2022-07-08,48.49
T1_C1,T1,T1_P146,2021-10-01,60.57
T1_C1,T1,T1_P230,2021-08-23,27.99
T1_C1,T1,T1_P225,2022-02-23,33.47
T1_C1,T1,T1_P272,2020-04-14,12.79
T1_C1,T1,T1_P80,2020-11-17,97.59
T1_C1,T1,T1_P182,2020-04-28,31.81
T1_C1,T1,T1_P39,2022-01-01,22.88
T1_C1,T1,T1_P185,2021-04-03,31.87
T1_C1,T1,T1_P135,2020-06-01,96.21
T1_C2,T1,T1_P180,2022-06-28,30.3
T1_C2,T1,T1_P216,2022-02-22,62.29
T1_C2,T1,T1_P125,2021-02-03,48.13
T1_C2,T1,T1_P90,2020-04-25,43.19
T1_C2,T1,T1_P45,2020-05-20,31.22
T1_C2,T1,T1_P3,2021-05-04,24.46
T1_C2,T1,T1_P39,2021-07-31,81.61
T1_C2,T1,T1_P252,2020-08-01,12.06
T1_C2,T1,T1_P78,2022-02-04,96.36
T1_C3,T1,T1_P130,2020-01-17,25.37
T1_C3,T1,T1_P96,2022-05-07,46.9
T1_C3,T1,T1_P190,2022-07-19,40.62
T1_C4,T1,T1_P146,2022-02-26,90.3
T1_C4,T1,T1_P230,2021-05-24,84.81
T1_C4,T1,T1_P225,2020-04-24,32.02
T1_C4,T1,T1_P272,2021-06-16,53.03
T1_C4,T1,T1_P80,2021-11-19,68.94
T1_C4,T1,T1_P182,2020-05-15,8.22
T1_C4,T1,T1_P39,2021-10-24,42.54
T1_C4,T1,T1_P135,2021-08-21,88.44
T1_C5,T1,T1_P1,2022-06-28,37.49
T1_C5,T1,T1_P153,2021-07-04,98.29
T1_C5,T1,T1_P190,2022-06-14,78.88
T1_C5,T1,T1_P125,2020-08-30,39.33
T1_C5,T1,T1_P82,2022-01-23,87.43
T1_C5,T1,T1_P72,2022-07-16,38.36
T1_C5,T1,T1_P263,2021-02-05,62.05
T1_C5,T1,T1_P147,2020-01-30,6.64
T1_C5,T1,T1_P73,2020-10-19,21.37
T1_C5,T1,T1_P45,2020-05-22,43.3
T1_C5,T1,T1_P266,2021-02-15,77.12
T1_C5,T1,T1_P69,2020-12-10,11.21
T1_C6,T1,T1_P70,2020-05-02,15.43
T1_C6,T1,T1_P16,2021-08-06,17.01
T1_C6,T1,T1_P180,2021-01-01,63.73
T1_C6,T1,T1_P46,2021-02-27,81.32
T1_C6,T1,T1_P229,2022-03-22,73.12
T1_C6,T1,T1_P63,2020-05-08,32.42
T1_C6,T1,T1_P284,2021-08-18,27.31
T1_C6,T1,T1_P183,2022-08-27,29.82
T1_C6,T1,T1_P161,2022-06-25,32.14
T1_C6,T1,T1_P78,2021-06-17,90.8
T1_C7,T1,T1_P190,2022-05-28,29.64
T1_C7,T1,T1_P256,2022-07-23,73.42
T1_C7,T1,T1_P280,2022-08-18,42.47
T1_C7,T1,T1_P46,2022-03-15,59.88
T1_C7,T1,T1_P220,2022-08-29,35.22
T1_C7,T1,T1_P43,2020-06-01,59.77
T1_C7,T1,T1_P98,2021-06-26,13.46
T1_C7,T1,T1_P183,2022-07-03,84.08
T1_C7,T1,T1_P118,2021-10-26,21.35
T1_C8,T1,T1_P220,2022-02-17,41.3
T1_C8,T1,T1_P39,2020-03-23,80.72
T1_C8,T1,T1_P63,2020-12-13,23.48
T1_C8,T1,T1_P183,2020-07-24,98.51
T1_C8,T1,T1_P78,2022-09-05,26.77
T1_C9,T1,T1_P180,2021-11-12,47.64
T1_C9,T1,T1_P216,2022-07-10,75.47
T1_C9,T1,T1_P125,2020-06-02,17.47
T1_C9,T1,T1_P90,2021-03-03,14.59
T1_C9,T1,T1_P45,2022-04-04,70.08
T1_C9,T1,T1_P3,2020-11-09,70.51
T1_C9,T1,T1_P39,2022-07-09,18.18
T1_C9,T1,T1_P252,2020-10-18,66.4
T1_C9,T1,T1_P178,2022-05-01,5.21
T1_C9,T1,T1_P169,2021-11-20,88.41
T1_C9,T1,T1_P281,2022-06-14,38.88
T1_C9,T1,T1_P78,2022-07-22,2.7
T1_C9,T1,T1_P179,2020-01-09,59.94
T1_C10,T1,T1_P154,2020-04-10,2.48
T1_C10,T1,T1_P190,2022-01-14,42.08
T1_C10,T1,T1_P256,2020-10-28,95.75
T1_C10,T1,T1_P21,2020-05-08,69.87
T1_C10,T1,T1_P280,2022-04-14,0.26
T1_C10,T1,T1_P46,2022-04-15,24.09
T1_C10,T1,T1_P220,2022-06-26,83.52
T1_C10,T1,T1_P43,2020-04-24,20.7
T1_C10,T1,T1_P98,2021-08-22,82.94
T1_C10,T1,T1_P183,2021-03-25,36.45
T1_C10,T1,T1_P118,2021-03-30,98.74
T1_C11,T1,T1_P1,2021-12-26,16.19
T1_C11,T1,T1_P153,2021-08-23,73.27
T1_C11,T1,T1_P190,2020-08-30,99.28
T1_C11,T1,T1_P125,2020-10-02,10.28
T1_C11,T1,T1_P82,2022-08-23,33.38
T1_C11,T1,T1_P72,2022-09-23,58.88
T1_C11,T1,T1_P263,2020-01-13,66.16
T1_C11,T1,T1_P147,2021-09-24,38.72
T1_C11,T1,T1_P45,2022-04-10,57.7
T1_C11,T1,T1_P266,2020-06-04,24.03
T1_C11,T1,T1_P69,2022-07-22,55.52
T1_C12,T1,T1_P70,2020-03-09,95.61
T1_C12,T1,T1_P63,2021-02-20,12.58
T1_C12,T1,T1_P78,2021-07-05,19.35
T1_C13,T1,T1_P153,2022-02-13,57.07
T1_C13,T1,T1_P282,2021-07-09,21.13
T1_C13,T1,T1_P296,2021-06-15,68.46
T1_C13,T1,T1_P230,2022-07-11,63.95
T1_C13,T1,T1_P258,2020-10-18,64.67
T1_C13,T1,T1_P143,2022-01-21,77.12
T1_C13,T1,T1_P183,2022-09-24,5.49
T1_C13,T1,T1_P240,2021-06-09,31.23
T1_C13,T1,T1_P256,2022-04-04,49.06
T1_C14,T1,T1_P91,2021-10-31,88.76
T1_C14,T1,T1_P153,2020-11-08,31.99
T1_C14,T1,T1_P158,2022-04-24,87.04
T1_C14,T1,T1_P282,2021-02-02,77.73
T1_C14,T1,T1_P296,2022-09-08,39.85
T1_C14,T1,T1_P230,2020-08-24,32.68
T1_C14,T1,T1_P258,2020-10-15,27.76
T1_C14,T1,T1_P53,2020-09-02,74.29
T1_C14,T1,T1_P143,2022-01-10,69.99
T1_C14,T1,T1_P203,2022-06-14,80.63
T1_C14,T1,T1_P183,2022-05-22,12.97
T1_C14,T1,T1_P240,2021-10-20,12.68
T1_C14,T1,T1_P256,2021-04-13,24.92
T1_C15,T1,T1_P113,2022-05-26,72.17
T1_C15,T1,T1_P216,2021-11-07,14.45
T1_C15,T1,T1_P120,2021-10-14,62.54
T1_C15,T1,T1_P53,2022-03-07,24.29
T1_C15,T1,T1_P241,2021-09-15,54.22
T1_C15,T1,T1_P220,2021-07-02,9.59
T1_C15,T1,T1_P39,2020-11-28,60.46
T1_C15,T1,T1_P63,2021-09-08,93.67
T1_C15,T1,T1_P43,2022-08-31,79.95
T1_C15,T1,T1_P183,2020-08-16,83.38
T1_C15,T1,T1_P78,2020-05-10,69.76
T1_C16,T1,T1_P154,2020-10-29,55.81
T1_C16,T1,T1_P190,2020-05-10,42.53
T1_C16,T1,T1_P256,2020-07-07,58.65
T1_C16,T1,T1_P124,2020-09-18,53.82
T1_C16,T1,T1_P107,2021-03-25,37.3
T1_C16,T1,T1_P21,2021-10-15,3.56
T1_C16,T1,T1_P280,2021-12-15,26.33
T1_C16,T1,T1_P46,2021-05-31,20.99
T1_C16,T1,T1_P220,2020-06-17,65.31
T1_C16,T1,T1_P43,2021-05-02,96.71
T1_C16,T1,T1_P98,2020-08-02,43.87
T1_C16,T1,T1_P295,2022-01-13,77.47
T1_C16,T1,T1_P40,2020-03-20,13.34
T1_C16,T1,T1_P183,2022-03-05,13.17
T1_C16,T1,T1_P118,2022-09-09,23.54
T1_C17,T1,T1_P117,2021-06-23,89.22
T1_C17,T1,T1_P131,2022-05-12,71.39
T1_C17,T1,T1_P146,2020-02-10,27.84
T1_C17,T1,T1_P221,2021-09-21,98.81
T1_C17,T1,T1_P115,2020-08-01,51.3
T1_C17,T1,T1_P230,2021-01-15,71.78
T1_C17,T1,T1_P225,2020-01-22,84.86
T1_C17,T1,T1_P272,2021-02-07,46.42
T1_C17,T1,T1_P80,2022-09-27,47.17
T1_C17,T1,T1_P182,2020-03-02,59.81
T1_C17,T1,T1_P286,2021-05-13,82.38
T1_C17,T1,T1_P39,2021-05-20,11.98
T1_C17,T1,T1_P185,2021-06-07,65.3
T1_C17,T1,T1_P135,2020-09-21,71.61
T1_C17,T1,T1_P132,2020-05-28,20.68
T1_C18,T1,T1_P246,2022-08-30,7.66
T1_C18,T1,T1_P72,2022-07-04,86.56
T1_C18,T1,T1_P19,2022-04-05,27.42
T1_C18,T1,T1_P137,2021-10-26,81.54
T1_C18,T1,T1_P160,2020-10-06,49.19
T1_C18,T1,T1_P119,2022-01-10,92.14
T1_C18,T1,T1_P141,2021-08-25,93.1
T1_C18,T1,T1_P280,2021-03-21,83.02
T1_C18,T1,T1_P172,2021-07-21,0.03
T1_C18,T1,T1_P222,2022-05-15,35.14
T1_C18,T1,T1_P127,2021-12-17,14.15
T1_C18,T1,T1_P261,2021-06-22,8.67
T1_C18,T1,T1_P201,2021-04-18,47.57
T1_C19,T1,T1_P246,2020-01-26,54.45
T1_C19,T1,T1_P72,2021-06-05,66.55
T1_C19,T1,T1_P19,2021-07-13,55.94
T1_C19,T1,T1_P137,2020-03-08,20.43
T1_C19,T1,T1_P160,2022-02-27,48.87
T1_C19,T1,T1_P222,2022-06-11,38.39
T1_C19,T1,T1_P127,2022-07-26,62.89
