customer_id,tenant_id,customer_name,age,gender,city,annual_income,tenure_months,engagement_score,risk_score,segment
T1_C1,T1,Customer 1,61,M,CityB,117415,120,55.07,42.42,Working Professional
T1_C2,T1,Customer 2,33,M,CityA,46487,50,49.64,52.05,Wealth Creator
T1_C3,T1,Customer 3,62,F,CityC,77114,78,33.33,37.07,Family Builder
T1_C4,T1,Customer 4,36,Other,CityC,134560,32,58.41,52.29,Young Digital User
T1_C5,T1,Customer 5,57,Other,CityB,110393,64,19.91,16.98,Working Professional
T1_C6,T1,Customer 6,30,M,CityC,103633,12,97.66,86.01,Wealth Creator
T1_C7,T1,Customer 7,56,Other,CityC,119430,47,58.35,62.31,Working Professional
T1_C8,T1,Customer 8,55,Other,CityA,126071,18,44.37,84.25,Family Builder
T1_C9,T1,Customer 9,53,Other,CityA,117327,44,98.9,39.5,Young Digital User
T1_C10,T1,Customer 10,68,F,CityA,105675,89,3.96,2.08,Family Builder
T1_C11,T1,Customer 11,31,Other,CityB,109346,89,69.03,37.74,Retirement Planner
T1_C12,T1,Customer 12,50,Other,CityC,101305,88,26.2,71.7,Working Professional
T1_C13,T1,Customer 13,20,F,CityB,107199,104,28.75,74.44,Wealth Creator
T1_C14,T1,Customer 14,70,F,CityB,132544,78,56.11,44.28,Working Professional
T1_C15,T1,Customer 15,44,M,CityC,42236,100,35.41,85.3,Young Digital User
T1_C16,T1,Customer 16,67,Other,CityB,37534,106,14.1,59.17,Wealth Creator
T1_C17,T1,Customer 17,21,F,CityB,149867,71,68.08,46.46,Working Professional
T1_C18,T1,Customer 18,22,M,CityA,51658,34,76.12,76.05,Family Builder
T1_C19,T1,Customer 19,30,Other,CityC,117205,114,87.1,97.13,Retirement Planner
T1_C20,T1,Customer 20,42,M,CityA,61873,67,40.5,34.34,Wealth Creator
T1_C21,T1,Customer 21,29,Other,CityC,98550,93,85.67,40.71,Retirement Planner
T1_C22,T1,Customer 22,60,M,CityA,138172,106,77.94,92.69,Young Digital User
T1_C23,T1,Customer 23,26,F,CityC,101957,24,5.45,18.19,Retirement Planner
T1_C24,T1,Customer 24,31,F,CityB,134177,35,62.69,32.89,Working Professional
T1_C25,T1,Customer 25,46,F,CityB,106600,44,30.01,76.42,Family Builder
T1_C26,T1,Customer 26,55,F,CityA,100302,60,40.61,86.06,Wealth Creator
T1_C27,T1,Customer 27,38,Other,CityB,144550,78,8.5,67.0,Young Digital User
T1_C28,T1,Customer 28,36,F,CityC,57065,88,22.14,82.18,Family Builder
T1_C29,T1,Customer 29,49,F,CityC,134461,106,50.64,17.12,Family Builder
T1_C30,T1,Customer 30,28,Other,CityA,116104,103,99.33,89.62,Wealth Creator
T1_C31,T1,Customer 31,32,Other,CityB,53923,33,42.85,56.22,Young Digital User
T1_C32,T1,Customer 32,37,M,CityC,103602,108,44.57,30.36,Young Digital User
T1_C33,T1,Customer 33,47,Other,CityC,60663,20,42.67,12.11,Wealth Creator
T1_C34,T1,Customer 34,21,M,CityC,149540,6,74.7,39.05,Retirement Planner
T1_C35,T1,Customer 35,55,F,CityB,30150,110,50.52,94.87,Young Digital User
T1_C36,T1,Customer 36,55,Other,CityB,35766,81,65.46,75.18,Young Digital User
T1_C37,T1,Customer 37,21,M,CityB,142688,107,20.03,27.86,Family Builder
T1_C38,T1,Customer 38,50,M,CityA,109966,21,48.72,57.85,Family Builder
T1_C39,T1,Customer 39,25,F,CityA,118058,42,48.23,50.51,Family Builder
T1_C40,T1,Customer 40,49,Other,CityA,87220,51,80.38,95.62,Wealth Creator
T1_C41,T1,Customer 41,28,Other,CityC,110793,5,57.36,13.47,Young Digital User
T1_C42,T1,Customer 42,36,Other,CityA,94577,92,51.68,75.98,Retirement Planner
T1_C43,T1,Customer 43,22,F,CityA,66171,72,9.58,36.05,Retirement Planner
T1_C44,T1,Customer 44,44,Other,CityB,115444,14,45.89,52.81,Young Digital User
T1_C45,T1,Customer 45,58,F,CityC,95086,109,9.84,57.48,Wealth Creator
T1_C46,T1,Customer 46,23,M,CityA,75149,46,0.37,75.35,Young Digital User
T1_C47,T1,Customer 47,40,M,CityB,36247,81,84.25,93.85,Working Professional
T1_C48,T1,Customer 48,20,Other,CityB,140234,29,10.69,8.97,Working Professional
T1_C49,T1,Customer 49,68,Other,CityB,102771,46,29.66,14.12,Retirement Planner
T1_C50,T1,Customer 50,66,Other,CityB,89963,32,42.03,73.69,Young Digital User
T1_C51,T1,Customer 51,44,M,CityA,117704,94,63.71,77.56,Young Digital User
T1_C52,T1,Customer 52,52,Other,CityA,34354,63,37.86,80.89,Family Builder
T1_C53,T1,Customer 53,64,Other,CityA,35272,111,18.0,20.89,Family Builder
T1_C54,T1,Customer 54,69,Other,CityB,46383,4,56.11,45.22,Young Digital User
T1_C55,T1,Customer 55,67,M,CityC,76569,24,66.01,45.34,Working Professional
T1_C56,T1,Customer 56,61,F,CityA,64952,32,65.52,16.05,Wealth Creator
T1_C57,T1,Customer 57,41,F,CityC,103456,62,46.49,3.69,Family Builder
T1_C58,T1,Customer 58,64,F,CityA,65896,100,55.39,5.45,Family Builder
T1_C59,T1,Customer 59,56,F,CityA,77706,76,0.94,37.45,Wealth Creator
T1_C60,T1,Customer 60,18,M,CityB,44836,13,11.53,80.72,Young Digital User
T1_C61,T1,Customer 61,61,Other,CityB,144528,39,24.76,7.01,Young Digital User
T1_C62,T1,Customer 62,63,F,CityB,62731,61,60.97,5.28,Young Digital User
T1_C63,T1,Customer 63,63,Other,CityB,103261,79,96.71,82.61,Family Builder
T1_C64,T1,Customer 64,38,M,CityC,35877,69,24.76,73.78,Family Builder
T1_C65,T1,Customer 65,29,F,CityB,102087,51,9.67,36.04,Family Builder
T1_C66,T1,Customer 66,35,Other,CityA,81050,58,40.8,66.73,Family Builder
T1_C67,T1,Customer 67,48,F,CityB,109274,102,22.36,20.95,Young Digital User
